word,frequency,percentage
उल्लेख,86154,0.06378922335883853

भएपछि,86037,0.06370259547002334

५०,85367,0.06320652123492779

ती,84153,0.0623076643373069

हामीले,83666,0.06194708500522999

भइरहेको,82609,0.06116447236866881

क्षेत्र,82518,0.06109709512181254

आयोजना,82263,0.06090829074875379

नेता,81914,0.06064988790092044

कम,81510,0.06035076254125089

करिब,81432,0.06029301061537409

चार,81354,0.0602352586894973

बेला,81186,0.06011086992607035

थप,81130,0.060069407004928035

परेको,81119,0.060061262502560796

सरकारी,81024,0.05999092361848009

यी,80597,0.05967476884476994

योजना,80415,0.059540014351057415

सो,80173,0.05936083529897813

हाम्रो,80022,0.059249033493755106

सडक,78811,0.058352397824052556

क्रममा,78536,0.05814878526487154

लागेको,78435,0.058074003924954154

खर्च,78419,0.05806215737605635

राम्रो,78276,0.057956278845282226

निर्वाचन,77598,0.05745428133573778

अर्को,77296,0.05723067772529172

२५,77046,0.05704557539876354

सक्ने,76074,0.05632589755322193

गर्नुपर्ने,76010,0.05627851135763072

आधारमा,75890,0.056189662240897185

आउने,75633,0.05599937704922621

भएर,75600,0.05597494354212449

मूल्य,75083,0.05559215193086419

बनाउने,74758,0.055351518906377545

का,74620,0.05524934242213399

तयार,74525,0.05517900353805327

बन्द,74344,0.055044989453646866

बढेको,74006,0.054794731108180755

सन्,73696,0.0545652042232858

वटा,73624,0.05451189475324568

महिला,73289,0.0542638576356979

दशमलव,73235,0.05422387553316781

अर्ब,73232,0.05422165430524948

११,73220,0.054212769393576124

पुगेको,72988,0.05404099443455797

उद्योग,72880,0.05396103022949779

दोस्रो,72106,0.05338795342656651

सदस्य,72048,0.053345009686811974

यसको,71680,0.05307253906216248

पर्ने,71454,0.052905206558981

news,71266,0.05276600960943179

त्यसैले,71066,0.052617927748209246

देखि,71012,0.05257794564567916

कि,70905,0.05249872184992509

३०,69692,0.05160060536161031

बताएका,69590,0.051525083612386814

हुँदै,69588,0.05152360279377459

केन्द्रीय,69473,0.05143845572357162

